Path Length,Turns,Infeasible Steps,Fitness
27,7,3,257.67857142857144
25,6,5,250.0
23,5,4,282.3529411764706
21,6,3,270.0
21,5,3,300.0
21,5,3,291.6666666666667
19,5,2,253.84615384615384
19,4,2,300.0
19,4,2,280.0
19,4,2,221.25
19,4,2,300.0
19,4,1,270.0
19,4,2,250.0
21,4,1,300.0
19,3,1,262.5
19,4,1,232.61538461538464
19,4,2,260.0
19,4,1,276.92307692307696
19,3,2,289.2857142857143
21,4,2,270.0
19,4,2,242.72727272727272
19,4,1,261.5625
19,4,1,285.0
19,3,2,264.2857142857143
19,3,2,270.0
19,3,0,270.0
